,Timestamp,0,1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18,20,21,22,23,24,25,26,27,28,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,50,51,52,53,54,55,56,57,58,60,61,62,63,64,65,66,67,68,70,71,72,73,74,75,76,77,78,80,81,82,83,84,85,86,87,88,Heart rate
9,2023-11-30 14-23-00,28.1618,15.17,8.90935,16.68565,1.395,1.50225,2.2528,1.92005,1.46095,2964.05345,1272.5826,578.0145,13.8769,1.67615,1.6742,2.2349,2.03015,1.59495,2085.55125,3463.01485,3034.02065,32.91585,1.6426,1.62035,15.51915,6.8369,1.5765,446.6981,187.9424,8.5596,3525.1856,16.21975,183.3205,2.03795,62.0366,6.63605,2012.33655,3896.47195,143.2099,3584.0781,1654.52235,7.99945,473.4784,3319.3514,32.522,2.8521,1.9269,3.20545,31.82595,1.60525,297.65055,4.59905,14.10435,708.1637,2.1419,14.28915,4.0025,11.29445,2.83205,1.6293,1437.85005,124.7366,2.85715,1.248,1.32195,3.6454,10.6805,1.61525,1.66965,136.23895,180.24975,3.61535,1.27865,1.5574,3.0997,9.92325,1.7829,1.65675,22.53455,1.53095,88.0581,103.681098
10,2023-11-30 14-24-00,27.58095,15.1465,9.3022,16.49935,1.44655,1.5028,2.1176,1.9442,1.42375,2925.5891,1265.76995,565.7455,13.71525,1.6917,1.6782,2.2274,2.1541,1.57205,2048.15625,3460.868,3023.8204,32.7253,1.6066,1.61995,15.31515,6.66825,1.57425,438.9039,182.9703,8.36225,3522.4199,16.39925,181.15435,2.2426,61.47155,6.67445,1985.75475,3894.95315,142.5614,3588.7469,1638.45325,7.7873,470.6097,3301.76975,32.39635,2.7993,1.80435,2.97435,31.2025,1.916,294.96925,4.5349,14.06205,702.90105,2.33805,14.1317,3.77475,11.04805,3.16175,1.6652,1430.8499,124.04845,2.78095,1.188,1.3388,3.04895,9.86555,1.86225,1.71725,136.53065,180.2852,3.62045,1.25945,1.42195,3.07735,9.91705,1.96835,1.70755,22.04835,1.7527,87.6604,104.5224596
11,2023-11-30 14-25-00,28.3173,15.2016,9.257,16.736,1.46215,1.4945,2.22785,1.9369,1.4325,2954.84,1279.78275,591.1867,13.07225,1.70165,1.6833,1.9766,2.13525,1.55895,2119.04615,3482.8624,3035.94255,33.77805,1.579,1.64995,15.60045,6.66615,1.5593,448.14805,189.11675,8.46385,3529.0076,16.19185,184.40135,2.1763,62.31205,6.8193,2015.03695,3903.71905,146.35365,3593.82845,1650.0877,8.0525,471.35805,3295.376,31.85715,2.76255,1.40115,2.77465,31.24115,1.7786,293.95585,4.9615,14.6037,699.162,2.17115,14.27965,3.7427,11.023,2.9498,1.6786,1426.553,122.89995,2.8092,1.26725,1.1661,2.93915,9.7428,2.0148,1.6883,136.8871,180.2072,3.7059,1.2638,1.30325,2.9974,10.16315,1.9817,1.6954,22.337,1.5329,87.49145,105
12,2023-11-30 14-26-00,28.18835,15.4462,9.13545,16.55095,1.42435,1.5114,2.18135,1.92185,1.46755,2931.7335,1265.3824,529.6693,13.51995,1.7591,1.69115,2.01605,2.1778,1.55315,2070.93175,3475.69965,3030.9924,32.8514,1.6001,1.64685,15.57325,6.4424,1.5298,434.65065,181.15085,8.29435,3534.13585,16.06495,181.6642,1.94035,60.65215,6.05565,1988.511,3895.8625,144.78095,3578.3591,1632.0216,8.0967,467.63925,3272.10625,32.60005,2.64725,1.48915,2.7794,31.18795,1.70155,291.5307,4.67165,13.9055,694.6242,2.25015,14.45125,3.73125,10.7315,2.9153,1.66745,1419.97445,123.3045,2.72695,1.23325,1.1262,2.63045,9.78665,1.8489,1.6556,135.64285,180.21535,3.5661,1.18995,1.07095,2.7341,9.91895,1.8614,1.71015,22.22015,1.56215,87.34995,105.0484102
13,2023-11-30 14-27-00,28.4899,15.4216,9.19285,16.1646,1.4402,1.4996,2.15935,1.91175,1.4406,2879.24425,1278.69525,579.7208,13.51725,1.72045,1.70815,2.2153,2.10945,1.5491,2062.90675,3467.0339,3041.10835,33.14585,1.60385,1.62625,15.0509,6.74245,1.52225,436.24455,181.7329,8.46315,3528.95455,15.6108,181.57145,2.16965,60.7953,6.8475,1987.0485,3894.7189,145.80755,3582.9811,1633.4747,8.44395,468.37225,3267.4375,32.09785,2.7274,1.454,2.68215,31.53725,1.6915,290.84635,4.7868,14.0012,691.93045,2.25015,14.13985,3.6752,11.2726,3.04345,1.66645,1416.8339,123.12645,2.62075,1.2165,1.162,3.09215,10.2398,1.74765,1.69275,135.72285,180.07545,3.5024,1.2403,1.22775,2.98335,9.60965,1.743,1.6633,22.4792,1.6856,86.6737,104.7515116
14,2023-11-30 14-28-00,29.3056,16.0153,9.24395,16.64845,1.3474,1.5165,2.18915,1.9364,1.4372,2903.62025,1259.6635,546.7416,13.43515,1.7427,1.67155,2.2756,2.0782,1.5551,2101.514,3460.70545,3005.8104,34.39985,1.6066,1.63715,15.4673,6.6409,1.5156,451.5388,190.3089,8.6552,3524.3575,16.43615,184.7244,2.0726,62.1042,6.45675,2014.01795,3886.40295,147.1171,3571.26205,1648.89705,8.25035,467.30335,3260.6812,31.67325,2.68365,1.49305,2.7001,31.2357,1.73515,289.01595,4.50675,14.1559,688.6319,2.2704,14.5021,3.45685,10.68245,2.9872,1.73365,1411.4651,122.92645,2.30085,1.18565,1.1782,2.59535,9.64985,1.8,1.6781,135.2959,178.8082,3.0451,1.2226,1.1923,2.8486,9.77885,1.93915,1.75205,21.6342,1.5909,86.70535,104.2304078
15,2023-11-30 14-29-00,30.0563,15.99885,8.9092,16.711,1.45565,1.53825,2.19965,2.01135,1.4449,2947.89,1274.4452,530.2881,13.63275,1.7608,1.70715,2.35665,2.0692,1.5664,2136.1275,3468.18395,3025.77035,34.7621,1.6082,1.655,15.79175,6.8139,1.50825,446.17935,189.3753,8.4636,3528.47315,15.5534,182.0407,2.27975,60.93225,6.5619,2020.58075,3895.6095,148.3358,3574.0091,1647.16265,7.88975,465.80935,3249.649,31.57795,2.7141,1.41485,2.66925,30.48205,1.791,287.63455,4.52875,13.6679,685.4959,2.2553,14.72075,3.481,10.65265,2.83015,1.69415,1410.12125,122.20525,2.68675,1.2239,1.36215,2.80235,9.4639,1.97985,1.627,136.8999,178.94235,3.343,1.21525,1.19225,2.80005,9.36625,1.85965,1.70545,22.53965,1.6769,85.0764,103.6062027
16,2023-11-30 14-30-00,31.31885,16.22195,9.01705,16.3602,1.44535,1.51445,2.12545,1.89305,1.43395,2992.83515,1269.3261,531.08815,13.1367,1.654,1.7079,2.22935,2.06645,1.53785,2214.1555,3486.922,3019.9297,35.7684,1.66755,1.63555,15.3539,6.4998,1.5031,460.92055,201.14525,8.6597,3525.6169,16.75445,185.86935,2.084,62.4711,6.26775,2060.5755,3901.4878,150.8289,3587.0313,1670.4041,7.86735,471.17525,3253.4053,31.23415,2.67895,1.3785,2.67075,30.9697,1.76675,287.4002,4.30955,13.55585,685.0241,2.25875,14.8739,3.3689,10.387,2.7059,1.7015,1410.6214,122.11465,2.3424,1.2418,1.02585,2.79075,9.15185,1.9446,1.73235,136.03615,179.9887,3.1407,1.21445,1.06725,2.8613,9.4328,1.9774,1.7188,22.1671,1.9161,85.65855,103
17,2023-11-30 14-31-00,34.34675,16.9693,8.7823,16.0086,1.5043,1.52175,1.93165,1.97155,1.44925,3157.30245,1295.027,581.549,12.98635,1.7192,1.7103,2.18675,2.07615,1.5626,2240.9936,3481.9719,3032.66145,36.5531,1.5833,1.6645,15.4373,6.44675,1.54495,463.45795,203.57645,8.8303,3530.9983,16.75435,186.78175,2.1935,63.0899,6.18735,2060.18175,3903.9348,150.51165,3583.88115,1669.14775,7.61,470.23155,3244.924,31.4357,2.7549,1.752,3.1058,30.5517,1.8296,286.66565,4.32555,13.47375,683.06465,2.22075,14.8008,3.6045,10.6097,2.82475,1.68165,1406.7522,121.72865,2.14425,1.2235,1.42185,3.5533,9.7412,1.9114,1.70155,136.8585,179.62145,3.3754,1.21485,1.6879,3.52505,9.97005,1.7832,1.6743,21.65845,1.6606,85.6386,102.5050823
18,2023-11-30 14-32-00,33.6236,16.5551,8.86555,15.86145,1.459,1.5281,2.14805,1.95215,1.44355,3133.49595,1295.83965,582.8897,12.6359,1.797,1.7089,2.25495,2.12645,1.55665,2222.28675,3491.3003,3025.75165,36.1711,1.6018,1.6527,15.51345,6.63455,1.55835,459.8485,200.41545,9.76715,3527.90135,16.3698,184.72425,2.1446,62.0101,6.28265,2050.85015,3904.65665,150.51475,3586.06575,1664.9008,7.57485,469.6956,3236.599,31.73425,2.7161,2.2493,3.0837,30.47085,1.8422,285.07815,4.3302,13.3735,679.28305,2.23905,14.63835,3.7119,10.35665,2.83535,1.73435,1401.7834,120.5224,2.25285,1.27165,1.69535,3.31605,9.71695,1.87655,1.7591,136.51705,179.0856,3.188,1.17655,1.8317,4.44355,10.9566,1.92515,1.71525,21.86785,1.90235,85.4441,102.1034471
